DecayParticle1_Name DecayParticle1_isBoson DecayParticle1_mass DecayParticle1_E DecayParticle1_px DecayParticle1_py DecayParticle1_pz DecayParticle2_Name DecayParticle2_isBoson DecayParticle2_mass DecayParticle2_E DecayParticle2_px DecayParticle2_py DecayParticle2_pz
b_quark 0 4.18 208.1 132 150 58 b_quark 0 4.18 264.508 -125 -211 -99
W+ 1 80.4 144.268 -53 44 98 W- 1 80.4 189.534 143 27 -91
b_quark 0 4.18 131.96 16 -124 42 b_quark 0 4.18 136.611 -116 70 -17
W+ 1 80.4 231.942 142 -87 -140 W- 1 80.4 198.278 -115 109 88
tau+ 0 1.78 149.094 84 91 83 tau- 0 1.78 135.577 -80 -107 -23
W+ 1 80.4 210.053 71 -109 144 W- 1 80.4 199.093 -158 67 -61
W+ 1 80.4 101.263 51 -10 -33 W- 1 80.4 200.824 -149 -1 108
W+ 1 80.4 189.669 118 -95 -81 W- 1 80.4 217.794 -180 91 17
tau+ 0 1.78 147.337 -28 139 -40 tau- 0 1.78 215.142 59 -201 -49
b_quark 0 4.18 97.8543 -94 19 19 b_quark 0 4.18 129.52 70 77 77
W+ 1 80.4 155.365 76 93 -57 W- 1 80.4 128.88 -5 -100 -11
tau+ 0 1.78 45.1239 9 44 -4 tau- 0 1.78 107.56 42 -69 71
b_quark 0 4.18 132.753 -95 -66 65 b_quark 0 4.18 170.949 154 69 -27
tau+ 0 1.78 179.592 145 32 101 tau- 0 1.78 197.201 -185 -58 -36
Z 1 91.2 168.308 -20 127 59 Z 1 91.2 238.942 -24 -202 -86
W+ 1 80.4 133.049 26 -19 101 W- 1 80.4 144.482 -107 19 -51
b_quark 0 4.18 102.095 -99 11 22 b_quark 0 4.18 166.549 156 -53 24
b_quark 0 4.18 163.375 123 84 67 b_quark 0 4.18 136.439 -69 -29 -114
b_quark 0 4.18 136.016 113 67 -35 b_quark 0 4.18 128.353 -47 -118 -18
b_quark 0 4.18 105.364 82 -54 -38 b_quark 0 4.18 114.658 -42 102 31
b_quark 0 4.18 141.504 118 -59 51 b_quark 0 4.18 190.7 -189 -12 22
b_quark 0 4.18 98.9114 -35 -75 -54 b_quark 0 4.18 40.7243 -31 26 2
b_quark 0 4.18 152.278 61 53 -129 b_quark 0 4.18 228.726 -65 -52 213
b_quark 0 4.18 173.192 81 64 -139 b_quark 0 4.18 264.368 -154 19 214
b_quark 0 4.18 106.839 -58 17 88 b_quark 0 4.18 111.083 -21 -91 -60
b_quark 0 4.18 145.545 66 -123 -41 b_quark 0 4.18 101.963 3 59 83
Z 1 91.2 218.939 42 -133 -142 Z 1 91.2 177.379 -31 123 84
b_quark 0 4.18 170.195 23 126 -112 b_quark 0 4.18 216.249 -16 -209 53
b_quark 0 4.18 109.098 -96 13 50 b_quark 0 4.18 169.657 141 -62 -71
b_quark 0 4.18 119.86 -67 -46 88 b_quark 0 4.18 144.839 91 -38 -106
W+ 1 80.4 205.388 -136 130 -18 W- 1 80.4 172.143 142 -34 -43
b_quark 0 4.18 150.444 34 -142 -36 b_quark 0 4.18 272.287 -123 215 113
W+ 1 80.4 166.052 -81 -92 -78 W- 1 80.4 115.296 48 -6 67
W+ 1 80.4 132.764 80 69 -1 W- 1 80.4 135.304 -99 -41 -19
b_quark 0 4.18 145.827 80 112 -48 b_quark 0 4.18 131.846 -131 -13 -6
b_quark 0 4.18 138.11 -110 -51 -66 b_quark 0 4.18 109.318 82 72 -5
b_quark 0 4.18 217.563 146 80 140 b_quark 0 4.18 177.684 -139 -28 -107
tau+ 0 1.78 168.051 138 -13 -95 tau- 0 1.78 252.056 -225 50 102
b_quark 0 4.18 175.882 121 30 -124 b_quark 0 4.18 139.701 -37 21 133
W+ 1 80.4 130.3 32 -57 79 W- 1 80.4 169.249 -76 94 -87
b_quark 0 4.18 147.212 -95 -55 98 b_quark 0 4.18 209.431 -4 68 -198
W+ 1 80.4 178.085 80 -137 9 W- 1 80.4 174.666 -138 70 10
W+ 1 80.4 177.252 -143 -67 4 W- 1 80.4 222.045 204 18 30
b_quark 0 4.18 187.722 -86 -75 -149 b_quark 0 4.18 194.668 74 101 149
b_quark 0 4.18 175.711 98 -33 -142 b_quark 0 4.18 162.553 -107 106 61
b_quark 0 4.18 165.02 -111 102 -67 b_quark 0 4.18 62.1488 16 -50 -33
b_quark 0 4.18 91.0795 22 -15 -87 b_quark 0 4.18 47.7962 35 -31 -9
b_quark 0 4.18 111.074 -52 -96 -20 b_quark 0 4.18 175.663 -20 158 -74
b_quark 0 4.18 105.785 0 -42 97 b_quark 0 4.18 178.741 -89 -49 -147
b_quark 0 4.18 175.429 51 -101 134 b_quark 0 4.18 195.628 -59 146 -116
W+ 1 80.4 167.577 -140 -43 13 W- 1 80.4 239.825 222 38 18
W+ 1 80.4 190.791 134 109 10 W- 1 80.4 132.7 -80 -53 44
b_quark 0 4.18 132.979 -71 95 -60 b_quark 0 4.18 231.522 135 -148 116
b_quark 0 4.18 194.865 149 -123 -25 b_quark 0 4.18 115.773 -83 49 64
b_quark 0 4.18 221.537 -121 138 -124 b_quark 0 4.18 248.247 133 -84 192
b_quark 0 4.18 152.917 -97 -31 -114 b_quark 0 4.18 138.616 53 62 112
b_quark 0 4.18 169.099 53 -82 138 b_quark 0 4.18 274.823 -75 123 -234
b_quark 0 4.18 139.048 52 62 113 b_quark 0 4.18 112.599 -111 4 -18
tau+ 0 1.78 191.74 119 98 114 tau- 0 1.78 227.695 -104 -135 -151
b_quark 0 4.18 160.927 -60 86 -122 b_quark 0 4.18 261.877 73 -167 188
W+ 1 80.4 203.64 142 -21 -120 W- 1 80.4 231.104 -64 0 207
b_quark 0 4.18 109.057 106 -24 8 b_quark 0 4.18 158.929 -90 121 50
tau+ 0 1.78 138.106 -47 106 75 tau- 0 1.78 155.352 -29 -93 -121
b_quark 0 4.18 154.407 -48 -132 -64 b_quark 0 4.18 100.436 -25 97 6
b_quark 0 4.18 199.696 137 134 56 b_quark 0 4.18 213.982 -199 -73 29
W+ 1 80.4 190.248 -107 -80 109 W- 1 80.4 289.36 119 152 -200
W+ 1 80.4 112.468 -56 -45 32 W- 1 80.4 100.544 10 29 -52
b_quark 0 4.18 135.781 119 17 63 b_quark 0 4.18 150.663 -120 1 -91
b_quark 0 4.18 114.95 -10 10 -114 b_quark 0 4.18 187.658 -45 7 182
W+ 1 80.4 171.047 -24 -149 4 W- 1 80.4 131.617 9 97 -37
b_quark 0 4.18 152.73 -136 18 67 b_quark 0 4.18 210.018 200 57 -29
W+ 1 80.4 194.641 -104 54 133 W- 1 80.4 119.445 5 43 -77
b_quark 0 4.18 154.131 55 133 55 b_quark 0 4.18 114.845 -90 -56 44
b_quark 0 4.18 46.8879 8 -31 34 b_quark 0 4.18 84.5664 -17 74 37
W+ 1 80.4 113.794 26 -47 -60 W- 1 80.4 163.982 32 69 121
W+ 1 80.4 93.8145 8 47 -8 W- 1 80.4 138.846 -42 -59 -87
b_quark 0 4.18 147.277 -143 18 -30 b_quark 0 4.18 197.973 174 50 80
W+ 1 80.4 181.863 148 55 41 W- 1 80.4 179.341 -117 -99 47
b_quark 0 4.18 203.505 -92 -113 142 b_quark 0 4.18 157.548 100 110 -52
b_quark 0 4.18 200.408 -109 -128 109 b_quark 0 4.18 255.105 23 164 -194
b_quark 0 4.18 206.474 138 -97 119 b_quark 0 4.18 317.968 -219 95 -210
b_quark 0 4.18 103.651 77 6 69 b_quark 0 4.18 102.876 -58 -61 -59
Z 1 91.2 177.41 -7 128 82 Z 1 91.2 197.265 -44 -106 -132
b_quark 0 4.18 206.793 141 -116 -97 b_quark 0 4.18 280.426 -202 139 136
W+ 1 80.4 88.556 -19 -21 24 W- 1 80.4 143.308 -76 4 -91
b_quark 0 4.18 204.74 -10 -140 -149 b_quark 0 4.18 263.84 67 64 247
b_quark 0 4.18 129.087 -89 90 -25 b_quark 0 4.18 191.996 98 -165 -4
W+ 1 80.4 172.839 30 -147 30 W- 1 80.4 123.463 -29 63 -63
tau+ 0 1.78 116.924 52 -50 92 tau- 0 1.78 104.461 -18 93 -44
b_quark 0 4.18 219.07 133 -102 -141 b_quark 0 4.18 263.77 -160 66 199
W+ 1 80.4 126.571 -94 -12 24 W- 1 80.4 140.99 110 -33 -15
b_quark 0 4.18 179.096 81 69 144 b_quark 0 4.18 169.881 -119 -35 -116
Z 1 91.2 104.993 -4 29 -43 Z 1 91.2 121.039 14 -76 -19
b_quark 0 4.18 174.021 117 -121 -44 b_quark 0 4.18 249.236 -127 204 66
W+ 1 80.4 157.991 1 120 -64 W- 1 80.4 122.14 -5 -77 50
W+ 1 80.4 109.714 10 72 -17 W- 1 80.4 179.781 65 -136 -56
b_quark 0 4.18 80.2712 52 1 61 b_quark 0 4.18 150.942 -51 -1 -142
b_quark 0 4.18 122.603 -23 -106 57 b_quark 0 4.18 114.61 34 9 -109
b_quark 0 4.18 135.947 0 92 -100 b_quark 0 4.18 155.928 -16 -78 134
b_quark 0 4.18 128.808 51 7 118 b_quark 0 4.18 226.924 -64 34 -215
b_quark 0 4.18 138.298 -128 -49 18 b_quark 0 4.18 200.468 115 148 -71
b_quark 0 4.18 96.5374 -90 19 29 b_quark 0 4.18 143.459 59 -21 -129
b_quark 0 4.18 90.7881 23 80 36 b_quark 0 4.18 123.026 -54 -49 -99
b_quark 0 4.18 205.126 113 123 -119 b_quark 0 4.18 230.997 -110 -191 69
b_quark 0 4.18 33.3687 22 24 6 b_quark 0 4.18 109.03 -2 29 -105
b_quark 0 4.18 147.765 -54 -135 -26 b_quark 0 4.18 185.662 44 129 126
W+ 1 80.4 230.242 -67 143 147 W- 1 80.4 270.98 35 -154 -205
W+ 1 80.4 176.828 84 78 -108 W- 1 80.4 125.392 -93 13 21
b_quark 0 4.18 203.768 116 108 128 b_quark 0 4.18 275.76 -167 -124 -181
W+ 1 80.4 148.809 8 80 -96 W- 1 80.4 163.282 -46 -105 84
b_quark 0 4.18 153.204 17 -91 -122 b_quark 0 4.18 99.0276 19 52 82
tau+ 0 1.78 123.257 -82 56 73 tau- 0 1.78 116.057 15 -115 -4
b_quark 0 4.18 154.131 55 -55 133 b_quark 0 4.18 194.166 -145 23 -127
b_quark 0 4.18 77.7398 51 56 -17 b_quark 0 4.18 53.8375 46 -27 6
Z 1 91.2 194.416 -6 112 130 Z 1 91.2 291.559 106 -202 -157
b_quark 0 4.18 118.564 -66 60 -78 b_quark 0 4.18 192.654 -16 -121 149
W+ 1 80.4 120.151 -58 -48 48 W- 1 80.4 213.46 123 74 -136
W+ 1 80.4 166.283 -17 -136 49 W- 1 80.4 204.052 -63 170 48
b_quark 0 4.18 183.732 -18 -110 -146 b_quark 0 4.18 235.075 93 35 213
b_quark 0 4.18 168.649 70 86 -127 b_quark 0 4.18 131.744 -11 -127 33
b_quark 0 4.18 127.132 -56 -97 60 b_quark 0 4.18 192.566 142 126 -32
b_quark 0 4.18 173.907 75 -120 101 b_quark 0 4.18 264.126 -146 195 -102
b_quark 0 4.18 205.347 98 139 115 b_quark 0 4.18 193.356 -107 -72 -144
tau+ 0 1.78 195.628 -9 -145 131 tau- 0 1.78 248.029 59 235 -53
b_quark 0 4.18 134.816 33 62 -115 b_quark 0 4.18 155.253 -106 23 111
W+ 1 80.4 196.757 -116 -37 -132 W- 1 80.4 139.593 89 -50 51
b_quark 0 4.18 66.5393 -4 65 -13 b_quark 0 4.18 92.7549 -53 -64 -41
W+ 1 80.4 114.255 70 -27 31 W- 1 80.4 168.532 -37 77 -121
b_quark 0 4.18 188.031 57 120 -133 b_quark 0 4.18 226.156 -73 -130 170
b_quark 0 4.18 156.216 -56 -135 -55 b_quark 0 4.18 139.855 127 58 -7
b_quark 0 4.18 155.729 -103 -115 20 b_quark 0 4.18 91.6868 42 60 55
b_quark 0 4.18 125.166 -76 87 -48 b_quark 0 4.18 96.3663 20 -70 63
b_quark 0 4.18 157.881 -148 53 -14 b_quark 0 4.18 85.6882 83 6 20
b_quark 0 4.18 203.535 98 98 -149 b_quark 0 4.18 152.113 -116 -68 71
b_quark 0 4.18 156.085 -61 -32 140 b_quark 0 4.18 224.017 105 129 -150
W+ 1 80.4 214.395 20 130 -149 W- 1 80.4 218.891 -97 -114 138
b_quark 0 4.18 146.852 126 -14 74 b_quark 0 4.18 216.688 -186 108 26
b_quark 0 4.18 66.2606 64 -14 9 b_quark 0 4.18 140.579 -140 8 -9
b_quark 0 4.18 185.126 115 2 145 b_quark 0 4.18 237.854 -163 -42 -168
b_quark 0 4.18 152.547 55 -62 -128 b_quark 0 4.18 227.437 10 -9 227
b_quark 0 4.18 186.503 -141 118 31 b_quark 0 4.18 228.496 59 -214 -54
b_quark 0 4.18 133.994 73 112 -8 b_quark 0 4.18 187.7 -41 -178 -43
b_quark 0 4.18 167.531 116 97 -72 b_quark 0 4.18 101.836 -61 -34 74
b_quark 0 4.18 171.118 -104 32 -132 b_quark 0 4.18 279.647 180 -29 212
b_quark 0 4.18 204.469 137 125 86 b_quark 0 4.18 253.747 -131 -147 -160
W+ 1 80.4 203.384 132 79 -106 W- 1 80.4 146.786 -69 -95 36
W+ 1 80.4 128.977 45 89 -15 W- 1 80.4 275.235 -145 -189 112
b_quark 0 4.18 196.406 91 -111 134 b_quark 0 4.18 235.53 -168 73 -148
b_quark 0 4.18 62.7333 1 -14 -61 b_quark 0 4.18 107.352 -93 53 7
W+ 1 80.4 234.534 109 -119 -150 W- 1 80.4 288.723 -204 159 100
W+ 1 80.4 210.067 64 -108 148 W- 1 80.4 179.134 -24 20 -157
b_quark 0 4.18 148.204 81 119 -35 b_quark 0 4.18 119.818 -117 -23 11
b_quark 0 4.18 103.689 37 -94 -23 b_quark 0 4.18 155.105 -118 30 96
b_quark 0 4.18 175.466 -121 -77 101 b_quark 0 4.18 228.347 188 70 -109
b_quark 0 4.18 139.192 -78 27 112 b_quark 0 4.18 103.196 10 -86 -56
b_quark 0 4.18 180.739 136 -107 -52 b_quark 0 4.18 179.345 -115 69 119
W+ 1 80.4 201.956 -44 135 119 W- 1 80.4 276.089 -26 -213 -154
Z 1 91.2 169.645 51 130 31 Z 1 91.2 233.751 48 -203 53
b_quark 0 4.18 122.333 74 16 -96 b_quark 0 4.18 111.384 -84 73 -2
b_quark 0 4.18 51.8312 13 30 -40 b_quark 0 4.18 93.6668 -24 -86 -28
tau+ 0 1.78 120.084 28 112 33 tau- 0 1.78 159.421 -84 -116 -70
b_quark 0 4.18 114.4 7 75 86 b_quark 0 4.18 165.495 -33 -151 -59
b_quark 0 4.18 42.8307 -24 35 4 b_quark 0 4.18 120.11 -74 -47 -82
b_quark 0 4.18 228.533 -105 144 143 b_quark 0 4.18 164.519 42 -79 -138
b_quark 0 4.18 141.769 77 54 -106 b_quark 0 4.18 139.791 -100 -68 70
b_quark 0 4.18 162.971 75 -114 -89 b_quark 0 4.18 151.154 -103 110 -11
b_quark 0 4.18 149.012 -43 -113 -87 b_quark 0 4.18 175.301 115 132 8
tau+ 0 1.78 145.455 97 81 72 tau- 0 1.78 152.529 -46 -115 -89
b_quark 0 4.18 180.337 -28 -102 146 b_quark 0 4.18 107.664 90 15 -57
b_quark 0 4.18 194.678 145 -99 -84 b_quark 0 4.18 237.776 -160 58 166
b_quark 0 4.18 181.977 -117 100 97 b_quark 0 4.18 298.252 212 -197 -72
b_quark 0 4.18 145.239 50 -129 -44 b_quark 0 4.18 122.517 8 120 23
b_quark 0 4.18 183.789 -96 137 -76 b_quark 0 4.18 140.483 71 -41 114
b_quark 0 4.18 154.604 -126 -28 85 b_quark 0 4.18 211.489 135 103 -126
b_quark 0 4.18 182.388 148 88 60 b_quark 0 4.18 284.52 -218 -137 -121
Z 1 91.2 182.698 40 -81 -130 Z 1 91.2 260.183 -140 123 157
W+ 1 80.4 154.292 94 -15 91 W- 1 80.4 166.007 -77 -69 -102
b_quark 0 4.18 143.859 -111 -79 -46 b_quark 0 4.18 216.805 93 157 117
W+ 1 80.4 183.156 64 -69 -135 W- 1 80.4 149.714 -21 103 70
W+ 1 80.4 138.939 -56 -10 -98 W- 1 80.4 213.46 4 58 189
b_quark 0 4.18 198.755 -149 122 49 b_quark 0 4.18 278.832 239 -65 -128
b_quark 0 4.18 141.646 133 41 26 b_quark 0 4.18 111.205 -93 -44 -42
W+ 1 80.4 123.066 -47 -66 -46 W- 1 80.4 183.674 102 128 22
b_quark 0 4.18 171.897 121 27 -119 b_quark 0 4.18 152.89 -97 -107 50
b_quark 0 4.18 177.934 -147 97 25 b_quark 0 4.18 223.934 208 -76 33
W+ 1 80.4 156.238 13 49 124 W- 1 80.4 180.514 14 -143 -74
b_quark 0 4.18 138.356 94 17 100 b_quark 0 4.18 253.035 -171 72 -172
b_quark 0 4.18 199.503 -88 -138 114 b_quark 0 4.18 228.358 140 63 -169
b_quark 0 4.18 119.157 34 -104 -47 b_quark 0 4.18 130.983 53 103 61
b_quark 0 4.18 41.261 -39 -8 10 b_quark 0 4.18 114.811 -22 106 38
b_quark 0 4.18 122.603 57 -82 -71 b_quark 0 4.18 144.995 -87 114 -21
tau+ 0 1.78 127.464 -48 -4 -118 tau- 0 1.78 127.468 55 -74 88
b_quark 0 4.18 168.56 -131 47 95 b_quark 0 4.18 224.456 221 39 -1
b_quark 0 4.18 138.522 75 -111 35 b_quark 0 4.18 126.892 -48 84 -82
tau+ 0 1.78 156.666 -144 58 21 tau- 0 1.78 184.871 123 -127 54
b_quark 0 4.18 181.454 110 -138 -42 b_quark 0 4.18 307.354 -200 232 -25
b_quark 0 4.18 142.529 -125 24 64 b_quark 0 4.18 167.103 136 -97 -1
b_quark 0 4.18 95.8461 -72 -4 63 b_quark 0 4.18 115.111 62 -70 -67
b_quark 0 4.18 173.573 67 86 -135 b_quark 0 4.18 188.689 -119 -103 104
b_quark 0 4.18 203.082 -138 -65 -134 b_quark 0 4.18 232.645 84 41 213
b_quark 0 4.18 138.197 98 81 54 b_quark 0 4.18 172.48 -64 -106 -120
b_quark 0 4.18 160.245 -124 66 -77 b_quark 0 4.18 157.107 90 -122 41
Z 1 91.2 159.82 -78 -95 46 Z 1 91.2 171.658 36 118 -77
W+ 1 80.4 107.309 -21 11 -67 W- 1 80.4 132.635 -70 -78 -12
b_quark 0 4.18 215.238 135 -89 142 b_quark 0 4.18 239.315 -109 2 -213
W+ 1 80.4 155.657 -68 -46 -105 W- 1 80.4 138.254 32 -51 95
b_quark 0 4.18 187.13 134 12 130 b_quark 0 4.18 241.467 -163 74 -162
W+ 1 80.4 178.894 -71 143 7 W- 1 80.4 138.12 30 -57 -92
